2018rank,City,State,2018estimate,2010Census,Change,2016 Land area(sqmi),2016 Land Area(km2),2016 Population Density(sqmi),2016 Population Density(km2),Location,Mayor
151,Pembroke Pines,Florida,"172,374","154,019",+11.92,33.0,85.5,"5,109","1,973",26°01′16″N 80°20′25″W / 26.0210°N 80.3404°W / 26.0210; -80.3404 ,Frank C. Ortis 
152,Peoria,Arizona,"172,259","154,065",+11.81,175.7,455.1,934,361,33°47′10″N 112°18′29″W / 33.7862°N 112.3080°W / 33.7862; -112.3080 ,Cathy Carlat 
153,Eugene,Oregon,"171,245","156,185",+9.64,44.1,114.,"3,777","1,458",44°03′24″N 123°06′58″W / 44.0567°N 123.1162°W / 44.0567; -123.1162 ,Lucy Vinis 
154,Corona,California,"168,819","152,374",+10.79,39.5,102.3,"4,222","1,630",33°51′43″N 117°33′56″W / 33.8620°N 117.5655°W / 33.8620; -117.5655 ,Jason Scott
155,Cary,North Carolina,"168,160","135,234",+24.35,56.5,146.3,"2,873","1,109",35°46′51″N 78°48′48″W / 35.7809°N 78.8133°W / 35.7809; -78.8133 ,Harold Weinbrecht 
156,Springfield,Missouri,"168,122","159,498",+5.41,82.3,13.,"2,033",785,37°11′39″N 93°17′29″W / 37.1942°N 93.2913°W / 37.1942; -93.2913 ,Ken McClure
157,Fort Collins,Colorado,"167,830","143,986",+16.56,55.8,144.5,"2,943","1,136",40°32′54″N 105°03′53″W / 40.5482°N 105.0648°W / 40.5482; -105.0648 ,Wade Troxell
158,Jackson,Mississippi,"164,422","173,514",−5.24,111.0,87.5,"1,524",588,32°18′57″N 90°12′46″W / 32.3158°N 90.2128°W / 32.3158; -90.2128 ,Chokwe Antar Lumumba 
159,Alexandria,Virginia,"160,530","139,966",+14.69,15.0,38.8,"10,387","4,010",38°49′12″N 77°05′03″W / 38.8201°N 77.0841°W / 38.8201; -77.0841 ,Justin Wilson 
160,Hayward,California,"159,620","144,186",+10.70,45.5,117.8,"3,493","1,349",37°37′43″N 122°06′09″W / 37.6287°N 122.1024°W / 37.6287; -122.1024 ,Barbara Halliday
161,Lancaster,California,"159,053","156,633",+1.55,94.3,44.,"1,698",656,34°41′37″N 118°10′31″W / 34.6936°N 118.1753°W / 34.6936; -118.1753 ,R. Rex Parris
162,Lakewood,Colorado,"156,798","142,980",+9.66,42.9,111.1,"3,599","1,390",39°41′56″N 105°07′03″W / 39.6989°N 105.1176°W / 39.6989; -105.1176 ,Adam Paul
163,Clarksville,Tennessee,"156,794","132,929",+17.95,98.3,54.6,"1,529",590,36°33′59″N 87°20′43″W / 36.5664°N 87.3452°W / 36.5664; -87.3452 ,Joe Pitts
164,Palmdale,California,"156,667","152,750",+2.56,106.0,74.5,"1,484",573,34°35′28″N 118°06′19″W / 34.5910°N 118.1054°W / 34.5910; -118.1054 ,
165,Salinas,California,"156,259","150,441",+3.87,23.6,61.1,"6,662",",572",36°41′25″N 121°38′01″W / 36.6902°N 121.6337°W / 36.6902; -121.6337 ,Joe Gunter
166,Springfield,Massachusetts,"155,032","153,060",+1.29,31.9,82.6,"4,830","1,860",42°06′56″N 72°32′24″W / 42.1155°N 72.5400°W / 42.1155; -72.5400 ,Domenic Sarno 
167,Hollywood,Florida,"154,823","140,768",+9.98,27.3,70.7,"5,568",",150",26°01′52″N 80°09′53″W / 26.0310°N 80.1646°W / 26.0310; -80.1646 ,Josh Levy
168,Pasadena,Texas,"153,219","149,043",+2.80,43.5,112.7,"3,525","1,361",29°39′31″N 95°09′02″W / 29.6586°N 95.1506°W / 29.6586; -95.1506 ,Jeff Wagner
169,Sunnyvale,California,"153,185","140,081",+9.35,22.0,57.0,"6,944",",681",37°23′09″N 122°01′35″W / 37.3858°N 122.0263°W / 37.3858; -122.0263 ,Larry Klein
170,Macon,Georgia,"153,095","91,351",+67.59,249.3,645.7,612,36,32°48′32″N 83°41′39″W / 32.8088°N 83.6942°W / 32.8088; -83.6942 ,Robert Reichert 
171,Kansas City,Kansas,"152,958","145,786",+4.92,124.8,323.,"1,216",470,39°07′21″N 94°44′30″W / 39.1225°N 94.7418°W / 39.1225; -94.7418 ,David Alvey
172,Pomona,California,"152,361","149,058",+2.22,23.0,59.6,"6,630",",560",34°03′31″N 117°45′40″W / 34.0585°N 117.7611°W / 34.0585; -117.7611 ,
173,Escondido,California,"152,213","143,911",+5.77,37.1,96.1,"4,087","1,578",33°07′59″N 117°04′26″W / 33.1331°N 117.0740°W / 33.1331; -117.0740 ,Paul McNamara  
174,Killeen,Texas,"149,103","127,921",+16.56,53.5,138.6,"2,680","1,030",31°04′40″N 97°43′55″W / 31.0777°N 97.7320°W / 31.0777; -97.7320 ,
175,Naperville,Illinois,"148,304","141,853",+4.55,38.7,100.,"3,802","1,468",41°44′57″N 88°09′43″W / 41.7492°N 88.1620°W / 41.7492; -88.1620 ,Steve Chirico 
176,Joliet,Illinois,"148,099","147,433",+0.45,64.4,166.8,"2,302",889,41°31′04″N 88°08′56″W / 41.5177°N 88.1488°W / 41.5177; -88.1488 ,Bob O'Dekirk 
177,Bellevue,Washington,"147,599","122,363",+20.62,33.5,86.8,"4,221","1,630",47°35′52″N 122°09′23″W / 47.5979°N 122.1565°W / 47.5979; -122.1565 ,John Chelminiak
178,Rockford,Illinois,"146,526","152,871",−4.15,63.5,164.5,"2,325",898,42°15′32″N 89°03′53″W / 42.2588°N 89.0646°W / 42.2588; -89.0646 ,Thomas McNamara 
179,Savannah,Georgia,"145,862","136,286",+7.03,103.6,68.3,"1,417",547,32°00′09″N 81°09′13″W / 32.0025°N 81.1536°W / 32.0025; -81.1536 ,Eddie DeLoach 
180,Paterson,New Jersey,"145,627","146,199",−0.39,8.4,1.8,"17,500","6,800",40°54′53″N 74°09′46″W / 40.9148°N 74.1628°W / 40.9148; -74.1628 ,
181,Torrance,California,"145,182","145,438",−0.18,20.5,53.1,"7,180",",770",33°50′06″N 118°20′29″W / 33.8350°N 118.3414°W / 33.8350; -118.3414 ,
182,Bridgeport,Connecticut,"144,900","144,229",+0.47,16.1,41.7,"9,064","3,500",41°11′15″N 73°11′45″W / 41.1874°N 73.1958°W / 41.1874; -73.1958 ,Joe Ganim 
183,McAllen,Texas,"143,433","129,877",+10.44,58.4,151.3,"2,435",940,26°13′56″N 98°14′47″W / 26.2322°N 98.2464°W / 26.2322; -98.2464 ,
184,Mesquite,Texas,"142,816","139,824",+2.14,47.2,122.,"3,045","1,176",32°45′46″N 96°35′20″W / 32.7629°N 96.5888°W / 32.7629; -96.5888 ,
185,Syracuse,New York,"142,749","145,170",−1.67,25.0,64.7,"5,735",",214",43°02′28″N 76°08′37″W / 43.0410°N 76.1436°W / 43.0410; -76.1436 ,Ben Walsh 
186,Midland,Texas,"142,344","111,147",+28.07,74.4,192.7,"1,809",698,32°01′29″N 102°06′49″W / 32.0246°N 102.1135°W / 32.0246; -102.1135 ,Jerry Morales
187,Pasadena,California,"141,371","137,122",+3.10,23.0,59.6,"6,176",",385",34°09′38″N 118°08′23″W / 34.1606°N 118.1396°W / 34.1606; -118.1396 ,Terry Tornek
188,Murfreesboro,Tennessee,"141,344","108,755",+29.97,55.9,144.8,"2,360",910,35°51′08″N 86°24′58″W / 35.8522°N 86.4160°W / 35.8522; -86.4160 ,Shane McFarland 
