2018rank,City,State,2018estimate,2010Census,Change,2016 Land area(sqmi),2016 Land Area(km2),2016 Population Density(sqmi),2016 Population Density(km2),Location,Mayor
260,High Point,North Carolina,"112,316","104,371",+7.61,55.2,143.0,"2,015",778,35°59′24″N 79°59′26″W / 35.9900°N 79.9905°W / 35.9900; -79.9905 ,Jay W. Wagner
261,Downey,California,"112,269","111,772",+0.44,12.4,32.1,"9,134","3,527",33°56′18″N 118°07′51″W / 33.9382°N 118.1309°W / 33.9382; -118.1309 ,
262,Clovis,California,"112,022","95,631",+17.14,24.2,62.7,"4,404","1,700",36°49′42″N 119°41′06″W / 36.8282°N 119.6849°W / 36.8282; -119.6849 ,Bob Whalen 
263,Pompano Beach,Florida,"111,954","99,845",+12.13,24.0,62.,"4,558","1,760",26°14′30″N 80°08′02″W / 26.2416°N 80.1339°W / 26.2416; -80.1339 ,Rex Hardin
264,Pueblo,Colorado,"111,750","106,595",+4.84,53.6,138.8,"2,058",795,38°16′12″N 104°36′44″W / 38.2699°N 104.6123°W / 38.2699; -104.6123 ,Nick Gradisar
265,Elgin,Illinois,"111,683","108,188",+3.23,37.4,96.9,"2,998","1,158",42°02′23″N 88°19′18″W / 42.0396°N 88.3217°W / 42.0396; -88.3217 ,Dave Kaptain
266,Lowell,Massachusetts,"111,670","106,519",+4.84,13.6,35.,"8,129","3,139",42°38′20″N 71°19′16″W / 42.6390°N 71.3211°W / 42.6390; -71.3211 ,William Samaras
267,Antioch,California,"111,535","102,372",+8.95,29.4,76.1,"3,772","1,456",37°58′45″N 121°47′46″W / 37.9791°N 121.7962°W / 37.9791; -121.7962 ,Sean Wright
268,West Palm Beach,Florida,"111,398","99,919",+11.49,55.1,142.7,"1,963",758,26°44′47″N 80°07′30″W / 26.7464°N 80.1251°W / 26.7464; -80.1251 ,Keith James 
269,Peoria,Illinois,"111,388","115,007",−3.15,48.2,124.8,"2,371",915,40°45′05″N 89°37′03″W / 40.7515°N 89.6174°W / 40.7515; -89.6174 ,Jim Ardis
270,Everett,Washington,"111,262","103,019",+8.00,33.3,86.,"3,275","1,264",47°57′24″N 122°11′29″W / 47.9566°N 122.1914°W / 47.9566; -122.1914 ,Cassie Franklin
271,Ventura,California,"111,128","106,433",+4.41,21.8,56.5,"5,027","1,941",34°16′04″N 119°15′15″W / 34.2678°N 119.2542°W / 34.2678; -119.2542 ,Neal Andrews
272,Centennial,Colorado,"110,831","100,377",+10.41,29.5,76.4,"3,727","1,439",39°35′26″N 104°52′09″W / 39.5906°N 104.8691°W / 39.5906; -104.8691 ,Cathy Noon
273,Lakeland,Florida,"110,516","97,422",+13.44,65.9,170.7,"1,615",624,28°03′20″N 81°57′18″W / 28.0555°N 81.9549°W / 28.0555; -81.9549 ,Bill Mutz
274,Gresham,Oregon,"110,158","105,594",+4.32,23.3,60.3,"4,786","1,848",45°30′08″N 122°26′30″W / 45.5023°N 122.4416°W / 45.5023; -122.4416 ,Shane Bemis 
275,Richmond,California,"110,146","103,701",+6.21,30.1,78.0,"3,648","1,409",37°57′08″N 122°21′38″W / 37.9523°N 122.3606°W / 37.9523; -122.3606 ,
276,Billings,Montana,"109,550","104,170",+5.16,43.7,113.,"2,525",975,45°47′19″N 108°33′00″W / 45.7885°N 108.5499°W / 45.7885; -108.5499 ,Bill Cole
277,Inglewood,California,"109,419","109,673",−0.23,9.1,3.6,"12,160","4,700",33°57′22″N 118°20′39″W / 33.9561°N 118.3443°W / 33.9561; -118.3443 ,
278,Broken Arrow,Oklahoma,"109,171","98,850",+10.44,61.7,159.8,"1,741",672,36°02′11″N 95°46′52″W / 36.0365°N 95.7810°W / 36.0365; -95.7810 ,Craig Thurmond
279,Sandy Springs,Georgia,"108,797","93,853",+15.92,37.7,97.6,"2,804","1,083",33°55′53″N 84°22′07″W / 33.9315°N 84.3687°W / 33.9315; -84.3687 ,Rusty Paul
280,Jurupa Valley,California,"108,393",0,NA,42.9,111.1,"2,414",932,34°00′09″N 117°28′03″W / 34.0026°N 117.4676°W / 34.0026; -117.4676 ,Verne Lauritzen
281,Hillsboro,Oregon,"108,389","91,611",+18.31,25.0,64.7,"4,207","1,624",45°31′41″N 122°56′09″W / 45.5280°N 122.9357°W / 45.5280; -122.9357 ,Steve Callaway
282,Waterbury,Connecticut,"108,093","110,366",−2.06,28.5,73.8,"3,799","1,467",41°33′31″N 73°02′12″W / 41.5585°N 73.0367°W / 41.5585; -73.0367 ,Neil O'Leary 
283,Santa Maria,California,"107,408","99,553",+7.89,22.8,59.1,"4,662","1,800",34°56′00″N 120°26′38″W / 34.9332°N 120.4438°W / 34.9332; -120.4438 ,Alice Patino
284,Boulder,Colorado,"107,353","97,385",+10.24,24.8,64.,"4,358","1,683",40°01′37″N 105°15′07″W / 40.0270°N 105.2519°W / 40.0270; -105.2519 ,Suzanne Jones
285,Greeley,Colorado,"107,348","92,889",+15.57,47.8,123.8,"2,176",840,40°24′55″N 104°46′11″W / 40.4153°N 104.7697°W / 40.4153; -104.7697 ,John Gates 
286,Daly City,California,"107,008","101,123",+5.82,7.6,19.7,"14,009","5,409",37°42′03″N 122°27′54″W / 37.7009°N 122.4650°W / 37.7009; -122.4650 ,Raymond A. Buenaventura
287,Meridian,Idaho,"106,804","75,092",+42.23,29.8,77.,"3,584","1,384",43°36′51″N 116°23′56″W / 43.6142°N 116.3989°W / 43.6142; -116.3989 ,Tammy de Weerd
288,Lewisville,Texas,"106,586","95,290",+11.85,36.7,95.1,"2,852","1,101",33°02′48″N 96°58′54″W / 33.0466°N 96.9818°W / 33.0466; -96.9818 ,
289,Davie,Florida,"106,558","91,992",+15.83,34.9,90.4,"2,919","1,127",26°04′45″N 80°17′06″W / 26.0791°N 80.2850°W / 26.0791; -80.2850 ,Judy Paul 
290,West Covina,California,"106,311","106,098",+0.20,16.0,41.4,"6,740",",600",34°03′21″N 117°54′36″W / 34.0559°N 117.9099°W / 34.0559; -117.9099 ,Lloyd Johnson
291,League City,Texas,"106,244","83,560",+27.15,51.2,132.6,"1,992",769,29°29′24″N 95°06′33″W / 29.4901°N 95.1091°W / 29.4901; -95.1091 ,Pat Hallisey
292,Tyler,Texas,"105,729","96,900",+9.11,56.6,146.6,"1,852",715,32°19′02″N 95°18′21″W / 32.3173°N 95.3059°W / 32.3173; -95.3059 ,Martin Heines 
293,Norwalk,California,"105,120","105,549",−0.41,9.7,5.1,"10,946","4,226",33°54′27″N 118°05′01″W / 33.9076°N 118.0835°W / 33.9076; -118.0835 ,
294,San Mateo,California,"105,025","97,207",+8.04,12.1,31.3,"8,592","3,317",37°33′37″N 122°18′38″W / 37.5603°N 122.3106°W / 37.5603; -122.3106 ,Diane Papan
295,Green Bay,Wisconsin,"104,879","104,057",+0.79,45.4,117.6,"2,316",894,44°31′15″N 87°59′03″W / 44.5207°N 87.9842°W / 44.5207; -87.9842 ,Eric Genrich
296,Wichita Falls,Texas,"104,576","104,553",+0.02,72.2,187.0,"1,450",560,33°54′24″N 98°31′33″W / 33.9067°N 98.5259°W / 33.9067; -98.5259 ,Stephen Santellana 
297,Sparks,Nevada,"104,246","90,264",+15.49,35.9,93.0,"2,810","1,080",39°33′16″N 119°44′08″W / 39.5544°N 119.7356°W / 39.5544; -119.7356 ,Ron Smith 
298,Lakewood,New Jersey,"104,157","92,843",+12.19,24.7,64.0,"4,079","1,575",40°04′38″N 74°12′01″W / 40.0771°N 74.2004°W / 40.0771; -74.2004 ,
299,Burbank,California,"103,695","103,340",+0.34,17.4,45.1,"6,003",",318",34°11′24″N 118°19′35″W / 34.1901°N 118.3264°W / 34.1901; -118.3264 ,Emily Gabel-Luddy
300,Rialto,California,"103,440","99,171",+4.30,22.3,57.8,"4,633","1,789",34°06′42″N 117°23′18″W / 34.1118°N 117.3883°W / 34.1118; -117.3883 ,
301,Allen,Texas,"103,383","84,246",+22.72,27.1,70.,"3,715","1,434",33°05′59″N 96°39′47″W / 33.0997°N 96.6631°W / 33.0997; -96.6631 ,
302,El Cajon,California,"103,241","99,478",+3.78,14.5,37.6,"7,156",",763",32°48′06″N 116°57′37″W / 32.8017°N 116.9604°W / 32.8017; -116.9604 ,Bill Wells
303,Las Cruces,New Mexico,"102,926","97,618",+5.44,76.9,199.,"1,323",511,32°19′35″N 106°47′23″W / 32.3264°N 106.7897°W / 32.3264; -106.7897 ,Ken Miyagishima
304,Renton,Washington,"102,153","90,927",+12.35,23.4,60.6,"4,314","1,666",47°28′34″N 122°11′31″W / 47.4761°N 122.1920°W / 47.4761; -122.1920 ,Denis Law
305,Davenport,Iowa,"102,085","99,685",+2.41,62.9,162.9,"1,631",630,41°33′15″N 90°36′14″W / 41.5541°N 90.6040°W / 41.5541; -90.6040 ,Frank Klipsch 
306,South Bend,Indiana,"101,860","101,168",+0.68,41.4,107.,"2,457",949,41°40′37″N 86°16′08″W / 41.6769°N 86.2690°W / 41.6769; -86.2690 ,Pete Buttigieg 
307,Vista,California,"101,224","93,834",+7.88,18.7,48.4,"5,436",",099",33°11′22″N 117°14′19″W / 33.1895°N 117.2386°W / 33.1895; -117.2386 ,Judy Ritter
308,Tuscaloosa,Alabama,"101,113","90,468",+11.77,71.7,185.7,"1,399",540,33°12′23″N 87°32′05″W / 33.2065°N 87.5346°W / 33.2065; -87.5346 ,Walter Maddox 
309,Clinton,Michigan,"100,800","96,796",+4.14,28.1,72.8,"3,573","1,380",42°35′25″N 82°55′01″W / 42.5903°N 82.9170°W / 42.5903; -82.9170 ,
310,Edison,New Jersey,"100,693","99,967",+0.73,30.1,78.0,"3,389","1,309",40°30′14″N 74°20′58″W / 40.5040°N 74.3494°W / 40.5040; -74.3494 ,
311,Woodbridge,New Jersey,"100,450","99,585",+0.87,23.3,60.3,"4,351","1,680",40°33′39″N 74°17′34″W / 40.5607°N 74.2927°W / 40.5607; -74.2927 ,
312,San Angelo,Texas,"100,215","93,200",+7.53,59.9,155.1,"1,681",649,31°26′28″N 100°27′02″W / 31.4411°N 100.4505°W / 31.4411; -100.4505 ,
313,Kenosha,Wisconsin,"100,164","99,218",+0.95,28.0,72.5,"3,577","1,381",42°34′56″N 87°50′44″W / 42.5822°N 87.8456°W / 42.5822; -87.8456 ,John Antaramian
314,Vacaville,California,"100,154","92,428",+8.36,29.0,75.1,"3,449","1,332",38°21′14″N 121°58′22″W / 38.3539°N 121.9728°W / 38.3539; -121.9728 ,Ron Rowlett
